time,Im,Wm,ARR1,ARR2,a1_upper,a1_lower,a2_upper,a2_lower,activation_arr1,activation_arr2,Fault_type
499.9,18.4584984324369,246.748326508062,0.0660422440656701,-0.00295980561170437,2.23944243241395,-2.23944243241395,0.125000277337063,-0.125000277337063,0,0,"Re & Rm"
500,19.0535974703341,254.703453098948,0.0842137291886558,0.020891374494588,2.23871614338272,-2.23871614338272,0.124883217077116,-0.124883217077116,0,0,"Re & Rm"
500.1,18.8132350813499,251.490352236253,0.0601916111720796,-0.0190920806807948,2.23975211655457,-2.23975211655457,0.125088141366784,-0.125088141366784,0,0,"Re & Rm"
500.2,18.2563997481453,244.046724732547,0.0657539327208875,-0.00287147135696016,2.23944976745673,-2.23944976745673,0.12501134308101,-0.12501134308101,0,0,"Re & Rm"
500.3,19.3412913568911,258.549268906467,0.0948523251516168,0.0344272568175118,2.23829477258426,-2.23829477258426,0.12482596545166,-0.12482596545166,0,0,"Re & Rm"
500.4,18.9478029087172,253.289219371964,0.0495934859275257,-0.0384391231946368,2.24022448520119,-2.24022448520119,0.125196629190115,-0.125196629190115,0,0,"Re & Rm"
500.5,19.2504017894111,257.334281200137,0.0558535687998905,-0.011836017811419,2.2398093097053,-2.2398093097053,0.12506890320744,-0.12506890320744,0,0,"Re & Rm"
500.6,18.2506113703728,243.969347228965,0.0348221142256478,-0.0320154110269998,2.24058328191676,-2.24058328191676,0.125176305829897,-0.125176305829897,0,0,"Re & Rm"
500.7,18.34190936338,245.189794659754,0.0764763467955948,0.0351360898230644,2.23880646549543,-2.23880646549543,0.124842038018805,-0.124842038018805,0,0,"Re & Rm"
500.8,18.9529458443406,253.357968775555,0.0853660286654344,0.0287857492361899,2.23861282601659,-2.23861282601659,0.124874797172258,-0.124874797172258,0,0,"Re & Rm"
500.9,19.2810819536864,257.744405524152,0.0635816953729231,-0.0123180442089276,2.23959576391712,-2.23959576391712,0.125084656570534,-0.125084656570534,0,0,"Re & Rm"
501,19.3283802283218,258.376676353532,0.0409796227974679,-0.0342039534544103,2.24042932617717,-2.24042932617717,0.125200755244018,-0.125200755244018,0,0,"Re & Rm"
501.1,18.4565437273423,246.722196527194,0.0249976700358118,-0.0371398668710865,2.24090622926735,-2.24090622926735,0.125222663158398,-0.125222663158398,0,0,"Re & Rm"
501.2,18.5716328176331,248.260677055961,0.0576958222228229,0.0214798699390143,2.23945845138544,-2.23945845138544,0.124932205515165,-0.124932205515165,0,0,"Re & Rm"
501.3,19.1916230040902,256.548541939427,0.0599218080196474,0.0136291264547905,2.23946613615608,-2.23946613615608,0.12497386524229,-0.12497386524229,0,0,"Re & Rm"
501.4,18.5913279636033,248.523956559778,0.0316858543386469,-0.0279715218757232,2.24063541536157,-2.24063541536157,0.125187674310073,-0.125187674310073,0,0,"Re & Rm"
501.5,18.8564129584588,252.067542680957,0.0532644450086917,0.0124066439793561,2.23966478816463,-2.23966478816463,0.124989000970966,-0.124989000970966,0,0,"Re & Rm"
501.6,18.5193977723672,247.562412782103,0.0437902005700145,-0.00542493833349818,2.24009187573326,-2.24009187573326,0.125082198439871,-0.125082198439871,0,0,"Re & Rm"
501.7,19.0835917672978,255.104408930088,0.0599555540122317,0.017174357087523,2.23943337576163,-2.23943337576163,0.124971709212963,-0.124971709212963,0,0,"Re & Rm"
501.8,18.3982437551043,245.942857913175,0.0361380137672944,-0.0207147067645423,2.24044479006082,-2.24044479006082,0.125166326838281,-0.125166326838281,0,0,"Re & Rm"
501.9,19.0606293689455,254.797453660309,0.0651816584341361,0.025308665009264,2.23921305834794,-2.23921305834794,0.124938290588957,-0.124938290588957,0,0,"Re & Rm"
502,18.7447311303544,250.574609532196,0.0392376821116038,-0.0192092743884527,2.24034389733076,-2.24034389733076,0.125165809618477,-0.125165809618477,0,0,"Re & Rm"
502.1,18.2997618972503,244.626378476573,0.0488404727377012,0.00206939657897607,2.23988225735888,-2.23988225735888,0.125063308352954,-0.125063308352954,0,0,"Re & Rm"
502.2,18.0998256056997,241.953682995468,0.0738062967125697,0.03184550581374,2.2389112628815,-2.2389112628815,0.124915651925062,-0.124915651925062,0,0,"Re & Rm"
502.3,19.3002761857272,258.000988943003,0.0971944303649204,0.0450154264789589,2.23813374263889,-2.23813374263889,0.124849539286784,-0.124849539286784,0,0,"Re & Rm"
502.4,18.712824138018,250.148085295042,0.0498301703955323,-0.0356591165511044,2.2401928684666,-2.2401928684666,0.125258827288415,-0.125258827288415,0,0,"Re & Rm"
502.5,17.6762827389553,236.291873940082,0.0677004050175995,0.00391098983821266,2.23933403682598,-2.23933403682598,0.125064934646978,-0.125064934646978,0,0,"Re & Rm"
502.6,18.6572916674397,249.405741911466,0.125476785100798,0.0732800067576749,2.23708281051715,-2.23708281051715,0.124715979695119,-0.124715979695119,0,0,"Re & Rm"
502.7,18.9063011618638,252.734434993336,0.101129025137794,0.0071058344000291,2.23836295589867,-2.23836295589867,0.125048948799462,-0.125048948799462,0,0,"Re & Rm"
502.8,18.5974383722711,248.60563888722,0.0904657822909827,-0.00961409928786482,2.23881358919971,-2.23881358919971,0.125136920764481,-0.125136920764481,0,0,"Re & Rm"
502.9,19.2677155520886,257.565727001748,0.103480046693888,0.0111283070449497,2.23826058468755,-2.23826058468755,0.125036181339545,-0.125036181339545,0,0,"Re & Rm"
503,18.8867930388302,252.473655562688,0.0715546274920345,-0.0338225100490754,2.23956393541933,-2.23956393541933,0.125267161401095,-0.125267161401095,0,0,"Re & Rm"
503.1,18.3415215137501,245.18460998845,0.0789571195302469,-0.00809205768333217,2.23912438290833,-2.23912438290833,0.125143357252949,-0.125143357252949,0,0,"Re & Rm"
503.2,18.4556731016174,246.710558232701,0.105383589452949,0.0284676298052445,2.23805134538133,-2.23805134538133,0.124962141484357,-0.124962141484357,0,0,"Re & Rm"
503.3,18.9472259161487,253.281506287868,0.110427457733802,0.020632049318742,2.23797945248854,-2.23797945248854,0.125002981573968,-0.125002981573968,0,0,"Re & Rm"
503.4,18.4785139630259,247.015888828751,0.0919304150692164,-0.0124174999263145,2.23879745000844,-2.23879745000844,0.125172611341011,-0.125172611341011,0,0,"Re & Rm"
503.5,18.6835999792626,249.757424467841,0.112511992276749,0.0190456636968397,2.2379349185757,-2.2379349185757,0.12501766574105,-0.12501766574105,0,0,"Re & Rm"
503.6,18.8968334526056,252.607873159292,0.108926568178024,0.00518564317066671,2.23816035480742,-2.23816035480742,0.125089969802156,-0.125089969802156,0,0,"Re & Rm"
503.7,18.9427876010048,253.222176064542,0.099452578100155,-0.00912619687490284,2.23855585459536,-2.23855585459536,0.125165861995765,-0.125165861995765,0,0,"Re & Rm"
503.8,18.9550753280762,253.386435151085,0.0934224922834171,-0.0121420060194167,2.23875291254373,-2.23875291254373,0.125185720649152,-0.125185720649152,0,0,"Re & Rm"
